stock,Random Forest,XGBoost,Log Regression,Score,bal,repair,npay,pct,yr,odo,mk_toyota,jointincome,netincome
190360,1.0,0.0,0.0,1.0,7997.54,667.0,99,24.9,2011.0,120719.0,0,0,0
203721,1.0,0.0,0.0,1.0,44978.25,924.32,182,17.9,2014.0,87205.0,0,0,0
203769,1.0,0.0,0.0,1.0,21420.1,1602.16,112,24.9,2015.0,122759.0,0,0,2087
190387,1.0,0.0,0.0,1.0,8033.15,463.99,94,24.9,2009.0,137796.0,0,0,0
203796,1.0,0.0,0.0,1.0,25105.71,4863.27,112,24.9,2015.0,119463.0,0,2600,0
203737,1.0,0.0,0.0,1.0,38554.34,328.23,123,17.9,2018.0,129524.0,0,4440,2257
181040,1.0,0.0,0.0,1.0,6159.26,1148.86,109,19.9,2008.0,93895.0,0,0,0
180590,1.0,0.0,0.0,1.0,4891.43,525.0,85,24.9,2006.0,80970.0,0,2700,0
201611,1.0,0.0,0.0,1.0,8906.86,0.0,103,21.9,2015.0,160417.0,0,2500,0
200092,0.0,0.0,1.0,1.0,7945.68,0.0,91,24.9,2011.0,73260.0,0,2400,0
